lhs,rhs,vars,gas saved,opt source,opt target,tpdb
PUSH w_4 DUP1 CALLVALUE SWAP2 POP PUSH 0 SWAP1 POP PUSH 0 DUP3 EQ ISZERO,PUSH 0 CALLVALUE SWAP1 DUP1 CALLVALUE GT,w_4,17,PUSH 0 DUP1 CALLVALUE SWAP2 POP PUSH 0 SWAP1 POP PUSH 0 DUP3 EQ ISZERO PUSH 407,PUSH 0 CALLVALUE SWAP1 DUP1 CALLVALUE GT PUSH 407,"PUSH(w_4, DUP1(CALLVALUE(SWAP2(POP(PUSH(0, SWAP1(POP(PUSH(0, DUP3(EQ(ISZERO(P)))))))))))) ->  PUSH(0, CALLVALUE(SWAP1(DUP1(CALLVALUE(GT(P))))))"
PUSH w_7 PUSH w_7 PUSH w_2 POP PUSH w_8 PUSH w_9 PUSH w_5 POP PUSH w_7 DUP7 DUP2,PUSH w_7 DUP1 PUSH w_8 PUSH w_9 DUP3 DUP7 PUSH w_7,w_7 w_2 w_8 w_9 w_5,10,PUSH 0 PUSH 0 PUSH 0 POP PUSH 0 PUSH 1 PUSH 0 POP PUSH 0 DUP7 DUP2,PUSH 0 DUP1 PUSH 0 PUSH 1 DUP3 DUP7 PUSH 0,"PUSH(w_7, PUSH(w_7, PUSH(w_2, POP(PUSH(w_8, PUSH(w_9, PUSH(w_5, POP(PUSH(w_7, DUP7(DUP2(P))))))))))) ->  PUSH(w_7, DUP1(PUSH(w_8, PUSH(w_9, DUP3(DUP7(PUSH(w_7, P)))))))"
DUP2 PUSH w_8 PUSH w_5 POP PUSH w_8 PUSH w_7 PUSH w_6 POP PUSH w_8 DUP7 DUP2,DUP2 PUSH w_8 DUP1 PUSH w_7 DUP2 DUP5 PUSH w_8,w_8 w_5 w_7 w_6,10,DUP2 PUSH 0 PUSH 0 POP PUSH 0 PUSH 1 PUSH 0 POP PUSH 0 DUP7 DUP2,DUP2 PUSH 0 DUP1 PUSH 1 DUP2 DUP5 PUSH 0,"DUP2(PUSH(w_8, PUSH(w_5, POP(PUSH(w_8, PUSH(w_7, PUSH(w_6, POP(PUSH(w_8, DUP7(DUP2(P))))))))))) ->  DUP2(PUSH(w_8, DUP1(PUSH(w_7, DUP2(DUP5(PUSH(w_8, P)))))))"
DUP2 ADD SWAP1 DUP1 DUP1 MLOAD SWAP1 PUSH w_0 ADD SWAP1 SWAP3 SWAP2 SWAP1 POP POP POP,POP MLOAD,w_0,40,DUP2 ADD SWAP1 DUP1 DUP1 MLOAD SWAP1 PUSH 32 ADD SWAP1 SWAP3 SWAP2 SWAP1 POP POP POP,POP MLOAD,"DUP2(ADD(SWAP1(DUP1(DUP1(MLOAD(SWAP1(PUSH(w_0, ADD(SWAP1(SWAP3(SWAP2(SWAP1(POP(POP(POP(P)))))))))))))))) ->  POP(MLOAD(P))"
PUSH w_6 PUSH w_7 PUSH w_8 PUSH w_9 DUP4 PUSH w_6 DUP2 GT ISZERO,PUSH w_6 PUSH w_7 PUSH w_8 PUSH w_9 PUSH w_6 PUSH 1,w_6 w_7 w_8 w_9,9,PUSH 3 PUSH 0 PUSH 20 PUSH 0 DUP4 PUSH 3 DUP2 GT ISZERO PUSH 7735,PUSH 3 PUSH 0 PUSH 20 PUSH 0 PUSH 3 PUSH 1 PUSH 7735,"PUSH(w_6, PUSH(w_7, PUSH(w_8, PUSH(w_9, DUP4(PUSH(w_6, DUP2(GT(ISZERO(P))))))))) ->  PUSH(w_6, PUSH(w_7, PUSH(w_8, PUSH(w_9, PUSH(w_6, PUSH(1, P))))))"
PUSH 2 PUSH w_7 PUSH w_8 PUSH w_9 DUP4 PUSH 3 DUP2 GT ISZERO,PUSH 2 PUSH w_7 PUSH w_8 PUSH w_9 DUP4 PUSH 1,w_7 w_8 w_9,9,PUSH 2 PUSH 0 PUSH 20 PUSH 0 DUP4 PUSH 3 DUP2 GT ISZERO PUSH 18379,PUSH 2 PUSH 0 PUSH 20 PUSH 0 DUP4 PUSH 1 PUSH 18379,"PUSH(2, PUSH(w_7, PUSH(w_8, PUSH(w_9, DUP4(PUSH(3, DUP2(GT(ISZERO(P))))))))) ->  PUSH(2, PUSH(w_7, PUSH(w_8, PUSH(w_9, DUP4(PUSH(1, P))))))"
PUSH 1 PUSH w_7 PUSH w_8 PUSH w_9 DUP4 PUSH 3 DUP2 GT ISZERO,PUSH 1 PUSH w_7 PUSH w_8 PUSH w_9 DUP4 PUSH 1,w_7 w_8 w_9,9,PUSH 1 PUSH 0 PUSH 20 PUSH 0 DUP4 PUSH 3 DUP2 GT ISZERO PUSH 11726,PUSH 1 PUSH 0 PUSH 20 PUSH 0 DUP4 PUSH 1 PUSH 11726,"PUSH(1, PUSH(w_7, PUSH(w_8, PUSH(w_9, DUP4(PUSH(3, DUP2(GT(ISZERO(P))))))))) ->  PUSH(1, PUSH(w_7, PUSH(w_8, PUSH(w_9, DUP4(PUSH(1, P))))))"
PUSH w_0 DUP1 DUP3 EXTCODESIZE SWAP1 POP PUSH 0 DUP2 EQ SWAP2 POP POP SWAP2 SWAP1 POP,EXTCODESIZE ISZERO SWAP1,w_0,32,PUSH 0 DUP1 DUP3 EXTCODESIZE SWAP1 POP PUSH 0 DUP2 EQ SWAP2 POP POP SWAP2 SWAP1 POP,EXTCODESIZE ISZERO SWAP1,"PUSH(w_0, DUP1(DUP3(EXTCODESIZE(SWAP1(POP(PUSH(0, DUP2(EQ(SWAP2(POP(POP(SWAP2(SWAP1(POP(P))))))))))))))) ->  EXTCODESIZE(ISZERO(SWAP1(P)))"
PUSH 0 DUP1 DUP1 PUSH w_1 DUP5 AND DUP2 SWAP1 LT DUP1 ISZERO SWAP1,PUSH 0 PUSH 0 PUSH 0 PUSH 1 DUP4,w_1,21,PUSH 0 DUP1 DUP1 PUSH 255 DUP5 AND DUP2 SWAP1 LT DUP1 ISZERO SWAP1 PUSH 9914,PUSH 0 PUSH 0 PUSH 0 PUSH 1 DUP4 PUSH 9914,"PUSH(0, DUP1(DUP1(PUSH(w_1, DUP5(AND(DUP2(SWAP1(LT(DUP1(ISZERO(SWAP1(P)))))))))))) ->  PUSH(0, PUSH(0, PUSH(0, PUSH(1, DUP4(P)))))"
DUP1 PUSH w_6 SWAP1 POP PUSH 1 PUSH 6 DUP2 GT ISZERO,PUSH w_6 PUSH 1 PUSH 1,w_6,17,PUSH 0 DUP1 PUSH 0 SWAP1 POP PUSH 1 PUSH 6 DUP2 GT ISZERO PUSH 4153,PUSH 0 PUSH 0 PUSH 1 PUSH 1 PUSH 4153,"DUP1(PUSH(w_6, SWAP1(POP(PUSH(1, PUSH(6, DUP2(GT(ISZERO(P))))))))) ->  PUSH(w_6, PUSH(1, PUSH(1, P)))"
PUSH w_7 DUP1 PUSH w_7 DUP1 PUSH w_6 SWAP3 POP,PUSH w_7 PUSH w_6 PUSH w_7 DUP3,w_7 w_6,8,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 SWAP3 POP PUSH 10045 DUP6 PUSH 16221,PUSH 0 PUSH 0 PUSH 0 DUP3 PUSH 10045 DUP6 PUSH 16221,"PUSH(w_7, DUP1(PUSH(w_7, DUP1(PUSH(w_6, SWAP3(POP(P))))))) ->  PUSH(w_7, PUSH(w_6, PUSH(w_7, DUP3(P))))"
