lhs,rhs,vars,gas saved,opt source,opt target,tpdb
PUSH w_1 TIMESTAMP GT SWAP1 POP,POP PUSH w_1 TIMESTAMP GT,w_1,3,PUSH 1507622400 TIMESTAMP GT SWAP1 POP,POP PUSH 1507622400 TIMESTAMP GT,"PUSH(w_1, TIMESTAMP(GT(SWAP1(POP(P))))) -> POP(PUSH(w_1, TIMESTAMP(GT(P))))"
PUSH w_2 SWAP1 DUP3 SWAP1,DUP2 PUSH w_2 SWAP2,w_2,3,PUSH 10366 SWAP1 DUP3 SWAP1 PUSH 12844,DUP2 PUSH 10366 SWAP2 PUSH 12844,"PUSH(w_2, SWAP1(DUP3(SWAP1(P)))) -> DUP2(PUSH(w_2, SWAP2(P)))"
DUP1 DUP5 AND PUSH w_4 SWAP1 DUP2,PUSH w_4 DUP2 DUP6 AND PUSH w_4,w_4,3,PUSH 255 DUP1 DUP5 AND PUSH 0 SWAP1 DUP2,PUSH 255 PUSH 0 DUP2 DUP6 AND PUSH 0,"DUP1(DUP5(AND(PUSH(w_4, SWAP1(DUP2(P)))))) ->  PUSH(w_4, DUP2(DUP6(AND(PUSH(w_4, P)))))"
PUSH w_1 DUP1 POP POP,,w_1,10,PUSH 103 PUSH 4 DUP1 POP POP PUSH 234,PUSH 103 PUSH 234,"PUSH(w_1, DUP1(POP(POP(P)))) -> P"
PUSH w_3 MSIZE SWAP1 MSIZE ADD PUSH w_2 SWAP1,MSIZE PUSH w_2 DUP2 PUSH w_3 ADD,w_3 w_2,5,PUSH 64 MSIZE SWAP1 MSIZE ADD PUSH 0 SWAP1,MSIZE PUSH 0 DUP2 PUSH 64 ADD,"PUSH(w_3, MSIZE(SWAP1(MSIZE(ADD(PUSH(w_2, SWAP1(P))))))) ->  MSIZE(PUSH(w_2, DUP2(PUSH(w_3, ADD(P)))))"
PUSH w_4 PUSH w_5 SHA3 SWAP1 PUSH w_3 SWAP1,PUSH w_3 PUSH w_4 PUSH w_5 SHA3 SWAP2,w_4 w_5 w_3,3,PUSH 32 PUSH 0 SHA3 SWAP1 PUSH 0 SWAP1,PUSH 0 PUSH 32 PUSH 0 SHA3 SWAP2,"PUSH(w_4, PUSH(w_5, SHA3(SWAP1(PUSH(w_3, SWAP1(P)))))) ->  PUSH(w_3, PUSH(w_4, PUSH(w_5, SHA3(SWAP2(P)))))"
ADD DUP3 PUSH 0 NOT AND,SWAP1 ADD DUP3,,6,PUSH 32 ADD DUP3 PUSH 0 NOT AND DUP2,PUSH 32 SWAP1 ADD DUP3 DUP2,"ADD(DUP3(PUSH(0, NOT(AND(P))))) -> SWAP1(ADD(DUP3(P)))"
PUSH w_0 ADD POP,POP,w_0,6,PUSH 32 ADD POP PUSH 0 PUSH 3929,POP PUSH 0 PUSH 3929,"PUSH(w_0, ADD(POP(P))) -> POP(P)"
PUSH w_3 DUP2 SWAP1 SSTORE PUSH w_2 DUP2 DUP2,PUSH w_2 DUP2 DUP2 DUP4 PUSH w_3 SSTORE,w_3 w_2,3,PUSH 24 DUP2 SWAP1 SSTORE PUSH 0 DUP2 DUP2,PUSH 0 DUP2 DUP2 DUP4 PUSH 24 SSTORE,"PUSH(w_3, DUP2(SWAP1(SSTORE(PUSH(w_2, DUP2(DUP2(P))))))) ->  PUSH(w_2, DUP2(DUP2(DUP4(PUSH(w_3, SSTORE(P))))))"
PUSH w_2 SLOAD TIMESTAMP SWAP1,TIMESTAMP PUSH w_2 SLOAD,w_2,3,PUSH 10 SLOAD TIMESTAMP SWAP1 LT PUSH 2524,TIMESTAMP PUSH 10 SLOAD LT PUSH 2524,"PUSH(w_2, SLOAD(TIMESTAMP(SWAP1(P)))) -> TIMESTAMP(PUSH(w_2, SLOAD(P)))"
PUSH w_1 DUP1 SLOAD SWAP1 POP SWAP1 POP,POP PUSH w_1 SLOAD,w_1,11,PUSH 8 DUP1 SLOAD SWAP1 POP SWAP1 POP SWAP1,POP PUSH 8 SLOAD SWAP1,"PUSH(w_1, DUP1(SLOAD(SWAP1(POP(SWAP1(POP(P))))))) -> POP(PUSH(w_1, SLOAD(P)))"
PUSH w_2 SLOAD NUMBER SWAP1,NUMBER PUSH w_2 SLOAD,w_2,3,PUSH 6 SLOAD NUMBER SWAP1 LT PUSH 5657,NUMBER PUSH 6 SLOAD LT PUSH 5657,"PUSH(w_2, SLOAD(NUMBER(SWAP1(P)))) -> NUMBER(PUSH(w_2, SLOAD(P)))"
PUSH w_4 PUSH w_3 DUP1 DUP4 ADD SWAP2,PUSH w_3 DUP2 ADD PUSH w_3 PUSH w_4,w_4 w_3,3,PUSH 4 PUSH 32 DUP1 DUP4 ADD SWAP2 DUP3,PUSH 32 DUP2 ADD PUSH 32 PUSH 4 DUP3,"PUSH(w_4, PUSH(w_3, DUP1(DUP4(ADD(SWAP2(P)))))) ->  PUSH(w_3, DUP2(ADD(PUSH(w_3, PUSH(w_4, P)))))"
PUSH w_4 SLOAD PUSH 0 NOT ADD,PUSH 1 PUSH w_4 SLOAD SUB,w_4,3,PUSH 2 SLOAD PUSH 0 NOT ADD PUSH 0,PUSH 1 PUSH 2 SLOAD SUB PUSH 0,"PUSH(w_4, SLOAD(PUSH(0, NOT(ADD(P))))) -> PUSH(1, PUSH(w_4, SLOAD(SUB(P))))"
DUP1 DUP2 GT ISZERO,PUSH 1,,9,PUSH 1 DUP1 DUP2 GT ISZERO PUSH 4433,PUSH 1 PUSH 1 PUSH 4433,"DUP1(DUP2(GT(ISZERO(P)))) -> PUSH(1, P)"
PUSH w_2 POP,,w_2,5,PUSH 1 PUSH 0 POP PUSH 0 DUP4 DUP2,PUSH 1 PUSH 0 DUP4 DUP2,"PUSH(w_2, POP(P)) -> P"
PUSH 0 DUP4 EQ ISZERO ISZERO,DUP3 ISZERO,,9,PUSH 0 DUP4 EQ ISZERO ISZERO PUSH 3187,DUP3 ISZERO PUSH 3187,"PUSH(0, DUP4(EQ(ISZERO(ISZERO(P))))) -> DUP3(ISZERO(P))"
PUSH 0 DUP3 EQ ISZERO ISZERO,DUP2 ISZERO,,9,PUSH 0 DUP3 EQ ISZERO ISZERO PUSH 3725,DUP2 ISZERO PUSH 3725,"PUSH(0, DUP3(EQ(ISZERO(ISZERO(P))))) -> DUP2(ISZERO(P))"
PUSH w_0 DUP2 EXTCODESIZE SWAP1 POP SWAP2 SWAP1 POP,EXTCODESIZE SWAP1,w_0,16,PUSH 0 DUP2 EXTCODESIZE SWAP1 POP SWAP2 SWAP1 POP,EXTCODESIZE SWAP1,"PUSH(w_0, DUP2(EXTCODESIZE(SWAP1(POP(SWAP2(SWAP1(POP(P)))))))) ->  EXTCODESIZE(SWAP1(P))"
PUSH 0 DUP2 GT ISZERO,DUP1 SWAP1 ISZERO,,3,PUSH 0 DUP2 GT ISZERO ISZERO PUSH 4089,DUP1 SWAP1 ISZERO ISZERO PUSH 4089,"PUSH(0, DUP2(GT(ISZERO(P)))) -> DUP1(SWAP1(ISZERO(P)))"
PUSH 0 DUP1 DUP3 EQ,PUSH 0 DUP2 ISZERO,,3,PUSH 0 DUP1 DUP3 EQ DUP1 PUSH 2244,PUSH 0 DUP2 ISZERO DUP1 PUSH 2244,"PUSH(0, DUP1(DUP3(EQ(P)))) -> PUSH(0, DUP2(ISZERO(P)))"
PUSH 0 DUP1 DUP3 LT,PUSH 0 PUSH 0,,6,PUSH 0 DUP1 DUP3 LT DUP1 PUSH 10757,PUSH 0 PUSH 0 DUP1 PUSH 10757,"PUSH(0, DUP1(DUP3(LT(P)))) -> PUSH(0, PUSH(0, P))"
PUSH 0 DUP1 DUP3 LT ISZERO,PUSH 0 PUSH 1,,9,PUSH 0 DUP1 DUP3 LT ISZERO PUSH 1469,PUSH 0 PUSH 1 PUSH 1469,"PUSH(0, DUP1(DUP3(LT(ISZERO(P))))) -> PUSH(0, PUSH(1, P))"
PUSH 0 DUP1 CALLVALUE GT ISZERO,PUSH 0 CALLVALUE ISZERO,,6,PUSH 0 DUP1 CALLVALUE GT ISZERO PUSH 1544,PUSH 0 CALLVALUE ISZERO PUSH 1544,"PUSH(0, DUP1(CALLVALUE(GT(ISZERO(P))))) -> PUSH(0, CALLVALUE(ISZERO(P)))"
PUSH w_0 PUSH w_2 SLOAD SWAP1 POP,PUSH w_2 SLOAD,w_0 w_2,8,PUSH 0 PUSH 1100 SLOAD SWAP1 POP SWAP1,PUSH 1100 SLOAD SWAP1,"PUSH(w_0, PUSH(w_2, SLOAD(SWAP1(POP(P))))) -> PUSH(w_2, SLOAD(P))"
PUSH w_2 PUSH w_3 DUP2 SWAP1 SSTORE POP POP,POP PUSH w_2 PUSH w_3 SSTORE,w_2 w_3,8,PUSH 0 PUSH 6 DUP2 SWAP1 SSTORE POP POP,POP PUSH 0 PUSH 6 SSTORE,"PUSH(w_2, PUSH(w_3, DUP2(SWAP1(SSTORE(POP(POP(P))))))) ->  POP(PUSH(w_2, PUSH(w_3, SSTORE(P))))"
PUSH w_0 PUSH w_3 SWAP1 POP,PUSH w_3,w_0 w_3,8,PUSH 0 PUSH 1 SWAP1 POP PUSH 2337,PUSH 1 PUSH 2337,"PUSH(w_0, PUSH(w_3, SWAP1(POP(P)))) -> PUSH(w_3, P)"
PUSH 0 DUP3 EQ,DUP2 ISZERO,,3,PUSH 0 PUSH 0 DUP3 EQ PUSH 3513,PUSH 0 DUP2 ISZERO PUSH 3513,"PUSH(0, DUP3(EQ(P))) -> DUP2(ISZERO(P))"
PUSH 0 CALLVALUE EQ ISZERO ISZERO,CALLVALUE ISZERO,,9,PUSH 0 CALLVALUE EQ ISZERO ISZERO PUSH 1253,CALLVALUE ISZERO PUSH 1253,"PUSH(0, CALLVALUE(EQ(ISZERO(ISZERO(P))))) -> CALLVALUE(ISZERO(P))"
PUSH 0 CALLVALUE GT ISZERO ISZERO PUSH w_2,PUSH w_2 CALLVALUE ISZERO ISZERO SWAP1,w_2,3,PUSH 0 CALLVALUE GT ISZERO ISZERO PUSH 1505,PUSH 1505 CALLVALUE ISZERO ISZERO SWAP1,"PUSH(0, CALLVALUE(GT(ISZERO(ISZERO(PUSH(w_2, P)))))) ->  PUSH(w_2, CALLVALUE(ISZERO(ISZERO(SWAP1(P)))))"
PUSH 0 NOT AND PUSH 0 NOT AND,,,18,PUSH 0 NOT AND PUSH 0 NOT AND DUP2,DUP2,"PUSH(0, NOT(AND(PUSH(0, NOT(AND(P)))))) -> P"
PUSH w_3 DUP1 MLOAD SWAP1 DUP2 ADD,PUSH w_3 MLOAD DUP1 PUSH w_3 ADD,w_3,3,PUSH 64 DUP1 MLOAD SWAP1 DUP2 ADD PUSH 64,PUSH 64 MLOAD DUP1 PUSH 64 ADD PUSH 64,"PUSH(w_3, DUP1(MLOAD(SWAP1(DUP2(ADD(P)))))) ->  PUSH(w_3, MLOAD(DUP1(PUSH(w_3, ADD(P)))))"
PUSH w_1 DUP1 NOT AND,PUSH 0,w_1,9,PUSH 32 ADD PUSH 0 DUP1 NOT AND DUP2,PUSH 32 ADD PUSH 0 DUP2,"PUSH(w_1, DUP1(NOT(AND(P)))) -> PUSH(0, P)"
PUSH w_4 DUP1 DUP5 ADD DUP3 SWAP1,PUSH w_4 DUP2 DUP5 PUSH w_4 ADD,w_4,3,PUSH 4 PUSH 32 DUP1 DUP5 ADD DUP3 SWAP1,PUSH 4 PUSH 32 DUP2 DUP5 PUSH 32 ADD,"PUSH(w_4, DUP1(DUP5(ADD(DUP3(SWAP1(P)))))) ->  PUSH(w_4, DUP2(DUP5(PUSH(w_4, ADD(P)))))"
PUSH 1 ISZERO ISZERO DUP2 ISZERO ISZERO EQ,DUP1 SWAP1 ISZERO ISZERO,,9,POP PUSH 1 ISZERO ISZERO DUP2 ISZERO ISZERO EQ,POP DUP1 SWAP1 ISZERO ISZERO,"PUSH(1, ISZERO(ISZERO(DUP2(ISZERO(ISZERO(EQ(P))))))) ->  DUP1(SWAP1(ISZERO(ISZERO(P))))"
PUSH 0 DUP3 GT ISZERO,DUP2 ISZERO,,6,POP PUSH 0 DUP3 GT ISZERO PUSH 2941,POP DUP2 ISZERO PUSH 2941,"PUSH(0, DUP3(GT(ISZERO(P)))) -> DUP2(ISZERO(P))"
PUSH 0 DUP2 GT ISZERO,DUP1 ISZERO,,6,POP PUSH 0 DUP2 GT ISZERO PUSH 1188,POP DUP1 ISZERO PUSH 1188,"PUSH(0, DUP2(GT(ISZERO(P)))) -> DUP1(ISZERO(P))"
DUP2 SWAP1 SSTORE POP,SSTORE,,8,POP PUSH 0 PUSH 1 DUP2 SWAP1 SSTORE POP,POP PUSH 0 PUSH 1 SSTORE,DUP2(SWAP1(SSTORE(POP(P)))) -> SSTORE(P)
PUSH 0 ISZERO ISZERO DUP5 ISZERO ISZERO EQ,SWAP2 SWAP2 DUP4 ISZERO,,9,POP PUSH 0 ISZERO ISZERO DUP5 ISZERO ISZERO EQ,POP SWAP2 SWAP2 DUP4 ISZERO,"PUSH(0, ISZERO(ISZERO(DUP5(ISZERO(ISZERO(EQ(P))))))) ->  SWAP2(SWAP2(DUP4(ISZERO(P))))"
CALLER PUSH w_2 DUP2,CALLER PUSH w_2 CALLER,w_2,1,POP CALLER PUSH 2098 DUP2 PUSH 2726,POP CALLER PUSH 2098 CALLER PUSH 2726,"CALLER(PUSH(w_2, DUP2(P))) -> CALLER(PUSH(w_2, CALLER(P)))"
TIMESTAMP PUSH w_1 DUP1 DUP4 ADD SWAP2 SWAP1 SWAP2,PUSH w_1 TIMESTAMP DUP2 DUP4 ADD,w_1,9,TIMESTAMP PUSH 64 DUP1 DUP4 ADD SWAP2 SWAP1 SWAP2,PUSH 64 TIMESTAMP DUP2 DUP4 ADD,"TIMESTAMP(PUSH(w_1, DUP1(DUP4(ADD(SWAP2(SWAP1(SWAP2(P)))))))) ->  PUSH(w_1, TIMESTAMP(DUP2(DUP4(ADD(P)))))"
PUSH 0 EQ ISZERO ISZERO,ISZERO,,9,CALLVALUE PUSH 0 EQ ISZERO ISZERO PUSH 256,CALLVALUE ISZERO PUSH 256,"PUSH(0, EQ(ISZERO(ISZERO(P)))) -> ISZERO(P)"
CALLER PUSH w_1 DUP1 DUP4 ADD SWAP2 SWAP1 SWAP2,PUSH w_1 CALLER DUP2 DUP4 ADD,w_1,9,CALLER PUSH 32 DUP1 DUP4 ADD SWAP2 SWAP1 SWAP2,PUSH 32 CALLER DUP2 DUP4 ADD,"CALLER(PUSH(w_1, DUP1(DUP4(ADD(SWAP2(SWAP1(SWAP2(P)))))))) ->  PUSH(w_1, CALLER(DUP2(DUP4(ADD(P)))))"
CALLER PUSH w_2 ORIGIN DUP3 EQ,CALLER PUSH w_2 CALLER ORIGIN EQ,w_2,1,CALLER PUSH 0 ORIGIN DUP3 EQ PUSH 4154,CALLER PUSH 0 CALLER ORIGIN EQ PUSH 4154,"CALLER(PUSH(w_2, ORIGIN(DUP3(EQ(P))))) ->  CALLER(PUSH(w_2, CALLER(ORIGIN(EQ(P)))))"
PUSH w_1 DUP2 SWAP1,DUP1 PUSH w_1,w_1,3,PUSH 0 DUP2 SWAP1,DUP1 PUSH 0,"PUSH(w_1, DUP2(SWAP1(P))) -> DUP1(PUSH(w_1, P))"
DUP2 PUSH 0 DUP3 ADD SLOAD DUP2,DUP2 DUP2 SLOAD DUP4,,6,SWAP1 DUP2 PUSH 0 DUP3 ADD SLOAD DUP2,SWAP1 DUP2 DUP2 SLOAD DUP4,"DUP2(PUSH(0, DUP3(ADD(SLOAD(DUP2(P)))))) -> DUP2(DUP2(SLOAD(DUP4(P))))"
SWAP1 PUSH w_3 SWAP1 DUP2 SWAP1 DUP2,PUSH w_3 PUSH w_3 SWAP2 SWAP3 PUSH w_3,w_3,3,SWAP1 PUSH 21 SWAP1 DUP2 SWAP1 DUP2 DUP5,PUSH 21 PUSH 21 SWAP2 SWAP3 PUSH 21 DUP5,"SWAP1(PUSH(w_3, SWAP1(DUP2(SWAP1(DUP2(P)))))) ->  PUSH(w_3, PUSH(w_3, SWAP2(SWAP3(PUSH(w_3, P)))))"
DUP3 DUP3 GT ISZERO ISZERO,DUP2 DUP4 LT,,6,DUP3 DUP3 GT ISZERO ISZERO PUSH 6272,DUP2 DUP4 LT PUSH 6272,DUP3(DUP3(GT(ISZERO(ISZERO(P))))) -> DUP2(DUP4(LT(P)))
PUSH 0 DUP2 EQ,DUP1 ISZERO,,3,DUP3 PUSH 0 DUP2 EQ PUSH 770,DUP3 DUP1 ISZERO PUSH 770,"PUSH(0, DUP2(EQ(P))) -> DUP1(ISZERO(P))"
DUP2 DUP2 GT ISZERO ISZERO,DUP1 DUP3 LT,,6,DUP2 DUP2 GT ISZERO ISZERO PUSH 2137,DUP1 DUP3 LT PUSH 2137,DUP2(DUP2(GT(ISZERO(ISZERO(P))))) -> DUP1(DUP3(LT(P)))
GT ISZERO ISZERO,GT,,6,DUP2 GT ISZERO ISZERO ISZERO PUSH 2221,DUP2 GT ISZERO PUSH 2221,GT(ISZERO(ISZERO(P))) -> GT(P)
LT ISZERO ISZERO,LT,,6,DUP2 LT ISZERO ISZERO ISZERO PUSH 2905,DUP2 LT ISZERO PUSH 2905,LT(ISZERO(ISZERO(P))) -> LT(P)
ISZERO ISZERO ISZERO,ISZERO,,6,DUP2 LT ISZERO ISZERO ISZERO PUSH 2905,DUP2 LT ISZERO PUSH 2905,ISZERO(ISZERO(ISZERO(P))) -> ISZERO(P)
DUP1 DUP4 GT ISZERO ISZERO,DUP3 DUP2 LT,,6,DUP1 DUP4 GT ISZERO ISZERO PUSH 4282,DUP3 DUP2 LT PUSH 4282,DUP1(DUP4(GT(ISZERO(ISZERO(P))))) -> DUP3(DUP2(LT(P)))
DUP1 PUSH w_1 DUP2 SWAP1 SSTORE POP POP,PUSH w_1 SSTORE,w_1,13,DUP1 PUSH 1 DUP2 SWAP1 SSTORE POP POP,PUSH 1 SSTORE,"DUP1(PUSH(w_1, DUP2(SWAP1(SSTORE(POP(POP(P))))))) -> PUSH(w_1, SSTORE(P))"
PUSH 0 PUSH w_1 AND,PUSH 0,w_1,6,DUP1 PUSH 0 PUSH 65535 AND DUP2,DUP1 PUSH 0 DUP2,"PUSH(0, PUSH(w_1, AND(P))) -> PUSH(0, P)"
PUSH w_1 SLOAD SWAP1 POP,POP PUSH w_1 SLOAD,w_1,3,PUSH 100000008 SLOAD SWAP1 POP,POP PUSH 100000008 SLOAD,"PUSH(w_1, SLOAD(SWAP1(POP(P)))) -> POP(PUSH(w_1, SLOAD(P)))"
DUP3 SWAP1 POP,POP DUP2,,3,POP DUP3 SWAP1 POP,POP POP DUP2,DUP3(SWAP1(POP(P))) -> POP(DUP2(P))
PUSH w_2 SWAP1 POP,POP PUSH w_2,w_2,3,PUSH 27500 SWAP1 POP PUSH 4141,POP PUSH 27500 PUSH 4141,"PUSH(w_2, SWAP1(POP(P))) -> POP(PUSH(w_2, P))"
