source bytecode,target bytecode,target opcode,target instruction count,source gas,target gas,gas saved,known optimal,translation validation
600080349150600090506000821415610197,60003490803411610197,PUSH 0 CALLVALUE SWAP1 DUP1 CALLVALUE GT PUSH 407,7,36,19,17,false,true
60608490,836060,DUP4 PUSH 96,2,9,6,3,true,true
60808390,826080,DUP3 PUSH 128,2,9,6,3,true,true
80600190,600181,PUSH 1 DUP2,2,9,6,3,true,true
80600590,600581,PUSH 5 DUP2,2,9,6,3,true,true
80600a90,600a81,PUSH 10 DUP2,2,9,6,3,true,true
80600d90,600d81,PUSH 13 DUP2,2,9,6,3,true,true
80905090,90,SWAP1,1,11,3,8,true,true
81019050,01,ADD,1,11,3,8,true,true
605a60048080359060200190919050506074,605a6004356074,PUSH 90 PUSH 4 CALLDATALOAD PUSH 116,4,40,12,28,false,true
81549150,905490,SWAP1 SLOAD SWAP1,3,208,206,2,false,true
6072600480803590602001909190505060f9,607260043560f9,PUSH 114 PUSH 4 CALLDATALOAD PUSH 249,4,40,12,28,false,true
611eb3600160146000600380811115611e8a,611eb360016014600060036001611e8a,PUSH 7859 PUSH 1 PUSH 20 PUSH 0 PUSH 3 PUSH 1 PUSH 7818,7,30,21,9,false,true
83549350,925492,SWAP3 SLOAD SWAP3,3,208,206,2,false,true
6133ed6001601460008060038111156133c4,6133ed60016014600080836133c4,PUSH 13293 PUSH 1 PUSH 20 PUSH 0 DUP1 DUP4 PUSH 13252,7,30,21,9,false,true
810190808051906020019092919050505050,5050,POP POP,2,46,4,42,true,true
3060008181,306000306000,ADDRESS PUSH 0 ADDRESS PUSH 0,4,11,10,1,true,true
60006116476002600084600019166000191681,600061164760026000846000,PUSH 0 PUSH 5703 PUSH 2 PUSH 0 DUP5 PUSH 0,6,36,18,18,false,true
34801560e0,34341560e0,CALLVALUE CALLVALUE ISZERO PUSH 224,4,11,10,1,true,true
3d80600084,3d3d600084,RETURNDATASIZE RETURNDATASIZE PUSH 0 DUP5,4,11,10,1,true,true
4360009081,6000436000,PUSH 0 NUMBER PUSH 0,3,11,8,3,true,true
5034600014,503415,POP CALLVALUE ISZERO,3,10,7,3,true,true
5060003414,503415,POP CALLVALUE ISZERO,3,10,7,3,true,true
6088600480803590602001909190505061018f,608860043561018f,PUSH 136 PUSH 4 CALLDATALOAD PUSH 399,4,40,12,28,false,true
60af60048080359060200190919050506101e0,60af6004356101e0,PUSH 175 PUSH 4 CALLDATALOAD PUSH 480,4,40,12,28,false,true
60ff6004808035906020019091905050610601,60ff600435610601,PUSH 255 PUSH 4 CALLDATALOAD PUSH 1537,4,40,12,28,false,true
611a3760016008600084600019166000191681,611a37600160086000846000,PUSH 6711 PUSH 1 PUSH 8 PUSH 0 DUP5 PUSH 0,6,36,18,18,false,true
611d5660016009600084600019166000191681,611d56600160096000846000,PUSH 7510 PUSH 1 PUSH 9 PUSH 0 DUP5 PUSH 0,6,36,18,18,false,true
61294f60016008600085600019166000191681,61294f600160086000856000,PUSH 10575 PUSH 1 PUSH 8 PUSH 0 DUP6 PUSH 0,6,36,18,18,false,true
612e4b60016014600060016003811115612e22,612e4b600160146000600183612e22,PUSH 11851 PUSH 1 PUSH 20 PUSH 0 PUSH 1 DUP4 PUSH 11810,7,30,21,9,false,true
6144c16103e8601f6002600c811015156144ae,6144c16103e8601f600260016144ae,PUSH 17601 PUSH 1000 PUSH 31 PUSH 2 PUSH 1 PUSH 17582,6,30,18,12,false,true
6144fd6103e8601f6000600c811015156144ea,6144fd6103e8601f600060016144ea,PUSH 17661 PUSH 1000 PUSH 31 PUSH 0 PUSH 1 PUSH 17642,6,30,18,12,false,true
6148486001601460006002600381111561481f,61484860016014600060028361481f,PUSH 18504 PUSH 1 PUSH 20 PUSH 0 PUSH 2 DUP4 PUSH 18463,7,30,21,9,false,true
